Player,Role,Played,Played,Points,Points,Points,Serve,Serve,Serve,Serve,Serve,Reception,Reception,Reception,Reception,Reception,Reception,Attack,Attack,Attack,Attack,Attack,Attack,Block,Block,Block
Name,,Matches,Sets,Total Points,Side-Out,Break Point,Total Points,Ace,Error,Ace per Set,Efficiency,Total,Error,Negative,Excellent,Excellent %,Efficiency,Total Points,Error,Blocked,Excellent,Excellent %,Efficiency,Net,Points,Points per Set
Vilma ANDERSSON,Setter,12,44,32,10,22,154,13,9,0.3,3%,2,0,2,0,0%,0%,26,3,1,10,38%,23%,1,9,0.2
Styliani CHRISTODOULOU,Setter,9,28,32,15,17,86,6,11,0.21,-6%,0,0,0,0,0%,0%,28,3,1,17,61%,46%,0,9,0.32
Cansu ÖZBAY,Setter,8,27,29,11,18,123,10,8,0.37,2%,1,0,0,0,0%,0%,22,2,1,14,64%,50%,1,5,0.19
Katerina VALKOVA,Setter,11,39,26,11,15,128,5,13,0.13,-6%,3,1,2,0,0%,-67%,29,0,2,12,41%,34%,0,9,0.23
Zsuzsanna KIRÁLY-TÁLAS,Setter,11,35,25,9,16,81,5,10,0.14,-6%,2,0,1,0,0%,0%,32,1,1,13,41%,34%,0,7,0.2
Olga SKRYPAK,Setter,9,27,25,12,13,103,6,4,0.22,2%,0,0,0,0,0%,0%,25,1,2,10,40%,28%,1,9,0.33
Barbora KOSEKOVA,Setter,10,36,23,5,18,123,7,6,0.19,1%,5,1,4,0,0%,-20%,11,1,0,5,45%,36%,0,11,0.31
Anastasiya LAPATO,Setter,10,29,22,6,16,78,2,8,0.07,-8%,1,1,0,0,0%,-100%,25,2,0,12,48%,40%,1,9,0.31
Polina MATVEEVA,Setter,7,26,22,7,15,66,8,11,0.31,-5%,1,0,1,0,0%,0%,17,0,1,9,53%,47%,1,5,0.19
Eva MORI,Setter,5,17,21,7,14,70,5,3,0.29,3%,3,1,2,0,0%,-33%,25,1,3,14,56%,40%,0,2,0.12
Nina STOJILJKOVIC,Setter,12,44,21,7,14,133,3,6,0.07,-2%,4,1,2,1,25%,0%,21,0,2,11,52%,43%,1,7,0.16
Daria VELYKOKON,Setter,10,21,21,4,17,66,10,5,0.48,8%,1,1,0,0,0%,-100%,10,0,2,6,60%,40%,0,5,0.24
Alessia ORRO,Setter,7,22,20,3,17,104,6,11,0.27,-5%,0,0,0,0,0%,0%,15,2,1,4,27%,7%,0,10,0.45
Fanni BAGYINKA,Setter,10,25,19,8,11,63,7,7,0.28,0%,3,2,1,0,0%,-67%,18,2,1,9,50%,33%,0,3,0.12
Milana BOŽIĆ,Setter,11,35,19,5,14,97,5,10,0.14,-5%,3,1,1,0,0%,-33%,19,1,1,7,37%,26%,1,7,0.2
Kaisa ALANKO,Setter,9,35,17,8,9,113,2,5,0.06,-3%,2,1,0,0,0%,-50%,29,2,1,10,34%,24%,0,5,0.14
Denise IMOUDU,Setter,5,18,16,7,9,67,3,10,0.17,-10%,1,0,1,0,0%,0%,16,0,1,6,38%,31%,1,7,0.39
Maja OGNJENOVIC,Setter,7,23,15,3,12,107,6,3,0.26,3%,0,0,0,0,0%,0%,18,1,1,6,33%,22%,1,3,0.13
Britt BONGAERTS,Setter,8,27,14,8,6,79,1,8,0.04,-9%,3,2,1,0,0%,-67%,20,0,1,8,40%,35%,0,5,0.19
Méline PIERRET,Setter,9,28,14,5,9,90,4,2,0.14,2%,3,1,2,0,0%,-33%,17,1,2,3,18%,0%,0,7,0.25
Elvita DOLOTOVA,Setter,6,19,13,8,5,51,3,5,0.16,-4%,1,0,1,0,0%,0%,19,1,1,8,42%,32%,0,2,0.11
Klara PERIĆ,Setter,6,21,13,6,7,66,2,14,0.1,-18%,1,1,0,0,0%,-100%,13,0,0,6,46%,46%,0,5,0.24
Nikoline Maria MOGENSEN,Setter,4,10,12,6,6,27,0,0,0.0,0%,0,0,0,0,0%,0%,12,0,0,7,58%,58%,0,5,0.5
Lora KITIPOVA,Setter,6,21,11,7,4,65,2,7,0.1,-8%,1,0,1,0,0%,0%,19,1,1,6,32%,21%,2,3,0.14
Blinera JAHA,Setter,6,19,10,4,6,43,3,8,0.16,-12%,0,0,0,0,0%,0%,16,1,0,7,44%,38%,2,0,0.0
Julija MÕNNAKMÄE,Setter,4,15,10,4,6,40,1,6,0.07,-12%,1,1,0,0,0%,-100%,13,0,0,8,62%,62%,2,1,0.07
Ana COUTO,Setter,5,16,9,5,4,50,2,1,0.12,2%,3,0,1,0,0%,0%,10,0,1,5,50%,40%,1,2,0.12
Anastasiya KANANOVICH,Setter,9,20,9,4,5,49,4,6,0.2,-4%,1,0,1,0,0%,0%,4,0,0,3,75%,75%,0,2,0.1
Maria Alejandra ALVAREZ,Setter,5,15,8,3,5,41,1,2,0.07,-2%,0,0,0,0,0%,0%,10,1,0,4,40%,30%,0,3,0.2
Kristina BESMAN,Setter,5,16,7,2,5,46,2,3,0.12,-2%,4,2,1,1,25%,-25%,9,0,0,5,56%,56%,0,1,0.06
Tamara DEDIJER,Setter,6,21,7,0,7,73,3,3,0.14,0%,1,1,0,0,0%,-100%,3,0,0,1,33%,33%,0,3,0.14
Inbal PELEG,Setter,6,20,7,2,5,57,4,3,0.2,2%,1,0,1,0,0%,0%,13,1,0,2,15%,8%,0,1,0.05
Ilka VAN DE VYVER,Setter,6,22,7,1,6,72,5,2,0.23,4%,4,0,3,1,25%,25%,9,0,0,1,11%,11%,0,1,0.05
Katarzyna WENERSKA,Setter,7,24,7,2,5,96,2,9,0.08,-7%,1,1,0,0,0%,-100%,8,0,0,3,38%,38%,0,2,0.08
Simona BAJUSZ,Setter,11,17,6,5,1,21,0,0,0.0,0%,0,0,0,0,0%,0%,6,0,0,6,100%,100%,0,0,0.0
Emilie RESPAUT,Setter,11,16,6,1,5,19,2,4,0.12,-11%,0,0,0,0,0%,0%,10,2,0,4,40%,20%,1,0,0.0
Astrid Liv Kofoed EMPACHER,Setter,6,13,5,2,3,31,1,3,0.08,-6%,1,1,0,0,0%,-100%,4,0,0,2,50%,50%,0,2,0.15
Pia KÄSTNER,Setter,6,16,5,1,4,33,1,1,0.06,0%,1,0,1,0,0%,0%,6,0,0,3,50%,50%,0,1,0.06
Ofelia MALINOV,Setter,4,9,5,1,4,26,1,2,0.11,-4%,0,0,0,0,0%,0%,8,0,1,3,38%,25%,1,1,0.11
Dana SCHMIT,Setter,5,16,5,3,2,40,2,3,0.12,-2%,1,1,0,0,0%,-100%,6,1,0,1,17%,0%,0,2,0.12
Rebekka BAHR,Setter,3,8,4,3,1,15,1,2,0.12,-7%,0,0,0,0,0%,0%,3,0,0,1,33%,33%,0,2,0.25
Petya BARAKOVA,Setter,6,15,4,0,4,30,1,2,0.07,-3%,0,0,0,0,0%,0%,1,0,0,0,0%,0%,0,3,0.2
